run_id,aich_sprint,phase_sprint,pass,assignment_pst,result_pst,verdict,blockers,important,minor,assignment_message_id,result_message_id,evidence_file,count_basis
AICH-S9-QA1,AICH-S9,AI.30,QA-1,2026-07-24 20:39:26,2026-07-24 20:52:35,FAIL,2,0,3,01KYBS4A9CQPD7DMS9CAPSJY6S,01KYBSWD6G1ECRDE0WSRY26743,ai30-qa1-verdict.md,headline/reviewer
AICH-S1-QA1,AICH-S1,AI.21-pre,QA-1,2026-07-24 20:44:52,2026-07-24 20:58:56,FAIL,1,6,3,01KYBSE8K9XEBX4PSN4PFRVKRK,01KYBT81FMQAN9YY7NWX0KPQP2,ai21pre-qa1-verdict.md,itemized open
AICH-S1-FIX1,AICH-S1,AI.21-pre,FIX-1 recheck,2026-07-24 21:44:16,2026-07-24 21:48:10,FAIL,0,1,0,01KYBWV17FD21M091B281T9TYY,01KYBX25CMP1XV1GCMT6RJEQRM,aich-s1-fix1-recheck-verdict.md,open gate
AICH-S2-QA1,AICH-S2,AI.22,QA-1,2026-07-24 22:15:14,2026-07-24 22:42:14,FAIL,5,3,0,01KYBYKR84S4KYDP7KT9231FSD,01KYC055BS08SXSWMDKZV337GG,ai22-qa1-verdict.txt,itemized open
AICH-S2-RBP-RECOVERY,AICH-S2,AI.22,RBP recovery,2026-07-24 23:08:09,2026-07-24 23:16:15,FINDINGS,0,2,0,01KYC1MMQX7AT26AJFZJ2E47GZ,01KYC23F4BR1T45NJKNMVK02CD,ai22-rbpf002-recovery-report.md,fresh review
AICH-S3-QA1,AICH-S3,AI.23,QA-1,2026-07-24 22:10:53,2026-07-24 22:25:35,FAIL,1,4,5,01KYBYBS9XMFNJ7F52VP4BX5KY,01KYBZ6P6P4V92B8FQ1B3D54PE,ai23-qa1-verdict.txt,itemized open
AICH-S3-ROUND2,AICH-S3,AI.23,round 2 recheck,2026-07-24 22:40:30,2026-07-24 22:53:26,FAIL,1,2,0,01KYC02079HCB5CQB433X9E75E,01KYC0SPC61MQGGGYMYTZHE3F9,ai23-round2-verdict.md,open gate
AICH-S4-FIX1,AICH-S4,AI.24,FIX-1 recheck,2026-07-24 23:59:31,2026-07-25 00:09:06,FAIL,3,2,0,01KYC4JNTY4KS90XABVS2YSDZB,01KYC547GYGAGQM02D107XHADY,ai24-fix-batch-verdict.md,headline/open
AICH-S4-FIX2,AICH-S4,AI.24,FIX-2 recheck,2026-07-25 00:17:46,2026-07-25 00:22:21,FAIL,0,2,1,01KYC5M3M5D61BFBC0VAT85F8N,01KYC5WFQF0035SC58CWRNH7ZX,ai24-fix2-verdict.md,open gate
AICH-S4-FIX3,AICH-S4,AI.24,FIX-3 recheck,2026-07-25 00:33:51,2026-07-25 00:39:58,PASS,0,2,3,01KYC6HHZKJ6772XJ5WNFMVPRE,01KYC6WQTQSE9BGBD5QB76EWYZ,ai24-fix3-verdict.md,open nonblocking
AICH-S5-QA1,AICH-S5,AI.25,QA-1,2026-07-25 01:08:48,2026-07-25 01:19:48,FAIL,3,5,5,01KYC8HHP949WSER0R9HR17J0H,01KYC95NXYTRDTSVQ6E7VNRAPP,ai25-qa1-verdict.md,itemized open
AICH-S5-FIX1,AICH-S5,AI.25,FIX-1 recheck,2026-07-25 02:42:52,2026-07-25 02:51:05,FAIL,3,,,01KYCDXS1M13M25R56SEF8T21Y,01KYCECV6XFHSXG2BX98BEXACH,ai25-fix1-recheck-verdict.md,headline only
AICH-S6-FIX1,AICH-S6,AI.26,FIX-1 recheck,2026-07-25 07:06:27,2026-07-25 07:12:03,FAIL,0,2,0,01KYCX0DGATV09YF4BF43C8YRB,01KYCXANMTRQ1J5R4288PCR1KV,aich-s6-fix1-verdict.md,open gate
AICH-S6-FIX2,AICH-S6,AI.26,FIX-2 recheck,2026-07-25 07:33:10,2026-07-25 07:41:50,PASS,0,0,0,01KYCYHAYAGPVT0RFBYQR7Y9G3,01KYCZ17CYPZ2Q3MGPT169Q0A0,aich-s6-fix2-verdict.md,explicit gate
AICH-S7-QA1,AICH-S7,AI.27,QA-1,2026-07-25 08:15:12,2026-07-25 08:26:33,PASS,0,5,13,01KYD0YA6RD2B86VYT64MW2VJY,01KYD1K2QQR2GGKBJKGHTDA1MV,aich-s7-qa1-verdict.md,reviewer aggregate
AICH-S8-QA1,AICH-S8,AI.28,QA-1,2026-07-25 08:45:18,2026-07-25 08:53:36,FAIL,3,9,7,01KYD2NE0EZ6BWWD8CX809HZN4,01KYD34M7APFREJ3TNJFGPS7Q4,aich-s8-qa1-verdict.md,headline/reviewer
AICH-S9-RECHECK,AICH-S9,AI.30,recheck,,2026-07-24 23:05:50,PASS,0,0,0,,01KYC1GCHYDJD8W78QYA6FMXXC,ai30-recheck-verdict.md,assignment not found
